content_id,content_type,category,author,word_count,quality_score,seo_score,publish_status,created_at
CONTENT_1,Article,Retail,Bob,320,0.46,0.64,Published,2026-03-28T18:54:02.918867
CONTENT_2,Blog,Tech,Bob,1356,0.67,0.49,Published,2026-03-28T18:54:02.918879
CONTENT_3,Article,Retail,Bob,1924,0.72,0.66,Draft,2026-03-28T18:54:02.918884
CONTENT_4,Article,Finance,Alice,866,0.41,0.45,Draft,2026-03-28T18:54:02.918889
CONTENT_5,Product Page,Energy,David,677,0.72,0.84,Review,2026-03-28T18:54:02.918894
CONTENT_6,Article,Tech,Alice,1450,0.66,0.7,Review,2026-03-28T18:54:02.918898
CONTENT_7,Blog,Energy,Charlie,1365,0.45,0.75,Review,2026-03-28T18:54:02.918903
CONTENT_8,Article,Retail,Emma,437,0.41,0.31,Review,2026-03-28T18:54:02.918908
CONTENT_9,Landing Page,Tech,Emma,1027,0.72,0.86,Draft,2026-03-28T18:54:02.918912
CONTENT_10,Product Page,Energy,David,1816,0.38,0.66,Published,2026-03-28T18:54:02.918917
CONTENT_11,Blog,Retail,Alice,1812,0.61,0.53,Draft,2026-03-28T18:54:02.918921
CONTENT_12,Landing Page,Health,Emma,1145,0.52,0.72,Review,2026-03-28T18:54:02.918926
CONTENT_13,Landing Page,Health,Alice,911,0.89,0.39,Published,2026-03-28T18:54:02.918930
CONTENT_14,Landing Page,Tech,Emma,1217,0.5,0.48,Published,2026-03-28T18:54:02.918934
CONTENT_15,Product Page,Retail,Alice,686,0.8,0.77,Draft,2026-03-28T18:54:02.918939
CONTENT_16,Blog,Retail,Emma,954,0.76,0.52,Published,2026-03-28T18:54:02.918943
CONTENT_17,Product Page,Health,Emma,324,0.61,0.72,Draft,2026-03-28T18:54:02.918948
CONTENT_18,Product Page,Energy,Emma,1076,0.34,0.32,Draft,2026-03-28T18:54:02.918952
CONTENT_19,Product Page,Finance,David,1009,0.61,0.82,Review,2026-03-28T18:54:02.918957
CONTENT_20,Blog,Tech,Charlie,1985,0.76,0.39,Published,2026-03-28T18:54:02.918961
CONTENT_21,Landing Page,Finance,Charlie,821,0.65,0.64,Published,2026-03-28T18:54:02.918965
CONTENT_22,Product Page,Tech,Emma,1802,0.87,0.9,Published,2026-03-28T18:54:02.918970
CONTENT_23,Article,Tech,Charlie,1181,0.43,0.61,Draft,2026-03-28T18:54:02.918974
CONTENT_24,Article,Finance,Emma,1657,0.55,0.52,Review,2026-03-28T18:54:02.918978
CONTENT_25,Blog,Health,Charlie,652,0.6,0.91,Draft,2026-03-28T18:54:02.918983
CONTENT_26,Blog,Tech,Charlie,961,0.57,0.93,Draft,2026-03-28T18:54:02.918987
CONTENT_27,Landing Page,Energy,David,463,0.65,0.84,Review,2026-03-28T18:54:02.918992
CONTENT_28,Product Page,Energy,Charlie,1642,0.48,0.54,Review,2026-03-28T18:54:02.918996
CONTENT_29,Landing Page,Finance,Charlie,1654,0.33,0.79,Review,2026-03-28T18:54:02.919001
CONTENT_30,Landing Page,Retail,Alice,1151,0.36,0.67,Review,2026-03-28T18:54:02.919005
CONTENT_31,Article,Health,Charlie,1746,0.37,0.7,Review,2026-03-28T18:54:02.919010
CONTENT_32,Blog,Health,Charlie,1091,0.48,0.37,Draft,2026-03-28T18:54:02.919014
CONTENT_33,Product Page,Finance,Emma,1786,0.33,0.63,Review,2026-03-28T18:54:02.919018
CONTENT_34,Landing Page,Health,Bob,1622,0.79,0.74,Draft,2026-03-28T18:54:02.919023
CONTENT_35,Blog,Tech,Charlie,1105,0.89,0.64,Review,2026-03-28T18:54:02.919028
CONTENT_36,Product Page,Health,Bob,1664,0.31,0.58,Review,2026-03-28T18:54:02.919032
CONTENT_37,Blog,Finance,Emma,1803,0.57,0.56,Draft,2026-03-28T18:54:02.919036
CONTENT_38,Blog,Finance,David,1386,0.87,0.74,Draft,2026-03-28T18:54:02.919041
CONTENT_39,Blog,Energy,Bob,829,0.8,0.52,Review,2026-03-28T18:54:02.919045
CONTENT_40,Product Page,Health,Emma,1600,0.47,0.58,Published,2026-03-28T18:54:02.919050
CONTENT_41,Product Page,Finance,Alice,356,0.55,0.6,Draft,2026-03-28T18:54:02.919054
CONTENT_42,Article,Energy,David,490,0.53,0.3,Review,2026-03-28T18:54:02.919059
CONTENT_43,Blog,Energy,Alice,584,0.81,0.42,Published,2026-03-28T18:54:02.919064
CONTENT_44,Landing Page,Health,Charlie,456,0.79,0.31,Review,2026-03-28T18:54:02.919068
CONTENT_45,Article,Tech,David,1697,0.35,0.33,Review,2026-03-28T18:54:02.919073
CONTENT_46,Blog,Energy,Alice,871,0.94,0.6,Draft,2026-03-28T18:54:02.919077
CONTENT_47,Landing Page,Energy,Alice,1134,0.51,0.67,Review,2026-03-28T18:54:02.919081
CONTENT_48,Article,Tech,Bob,1008,0.68,0.61,Published,2026-03-28T18:54:02.919086
CONTENT_49,Landing Page,Retail,Charlie,1625,0.4,0.93,Published,2026-03-28T18:54:02.919090
CONTENT_50,Landing Page,Energy,Bob,1916,0.43,0.93,Draft,2026-03-28T18:54:02.919094
CONTENT_51,Product Page,Finance,Alice,374,0.35,0.59,Review,2026-03-28T18:54:02.919099
CONTENT_52,Landing Page,Energy,Emma,1834,0.32,0.35,Published,2026-03-28T18:54:02.919103
CONTENT_53,Product Page,Retail,Charlie,970,0.66,0.65,Review,2026-03-28T18:54:02.919108
CONTENT_54,Landing Page,Finance,Emma,439,0.82,0.82,Draft,2026-03-28T18:54:02.919112
CONTENT_55,Blog,Energy,Alice,536,0.83,0.42,Draft,2026-03-28T18:54:02.919117
CONTENT_56,Product Page,Tech,Emma,1464,0.62,0.64,Review,2026-03-28T18:54:02.919121
CONTENT_57,Landing Page,Tech,Charlie,533,0.41,0.92,Draft,2026-03-28T18:54:02.919126
CONTENT_58,Article,Retail,Bob,591,0.53,0.72,Review,2026-03-28T18:54:02.919130
CONTENT_59,Product Page,Finance,Emma,302,0.51,0.79,Review,2026-03-28T18:54:02.919134
CONTENT_60,Blog,Finance,Bob,357,0.85,0.51,Published,2026-03-28T18:54:02.919138
CONTENT_61,Article,Energy,Bob,1089,0.78,0.46,Published,2026-03-28T18:54:02.919143
CONTENT_62,Article,Retail,Bob,706,0.43,0.8,Review,2026-03-28T18:54:02.919147
CONTENT_63,Landing Page,Tech,Charlie,1358,0.58,0.39,Review,2026-03-28T18:54:02.919151
CONTENT_64,Landing Page,Finance,Alice,885,0.9,0.8,Draft,2026-03-28T18:54:02.919156
CONTENT_65,Product Page,Health,David,1184,0.53,0.31,Review,2026-03-28T18:54:02.919160
CONTENT_66,Landing Page,Health,Charlie,1239,0.69,0.44,Review,2026-03-28T18:54:02.919165
CONTENT_67,Landing Page,Tech,Alice,1390,0.57,0.72,Published,2026-03-28T18:54:02.919169
CONTENT_68,Landing Page,Tech,Charlie,603,0.61,0.56,Review,2026-03-28T18:54:02.919173
CONTENT_69,Landing Page,Energy,Alice,1014,0.41,0.55,Review,2026-03-28T18:54:02.919178
CONTENT_70,Article,Tech,David,416,0.79,0.5,Review,2026-03-28T18:54:02.919182
CONTENT_71,Article,Energy,Charlie,880,0.8,0.34,Draft,2026-03-28T18:54:02.919186
CONTENT_72,Article,Retail,Alice,1584,0.39,0.33,Review,2026-03-28T18:54:02.919191
CONTENT_73,Product Page,Tech,David,973,0.55,0.8,Draft,2026-03-28T18:54:02.919195
CONTENT_74,Blog,Retail,Emma,763,0.78,0.38,Review,2026-03-28T18:54:02.919199
CONTENT_75,Article,Retail,Charlie,1585,0.37,0.81,Draft,2026-03-28T18:54:02.919204
CONTENT_76,Blog,Health,Emma,1731,0.54,0.42,Review,2026-03-28T18:54:02.919208
CONTENT_77,Landing Page,Health,Alice,406,0.37,0.93,Published,2026-03-28T18:54:02.919215
CONTENT_78,Article,Retail,Emma,1535,0.54,0.86,Review,2026-03-28T18:54:02.919219
CONTENT_79,Article,Tech,David,501,0.32,0.63,Review,2026-03-28T18:54:02.919224
CONTENT_80,Landing Page,Retail,David,818,0.75,0.84,Draft,2026-03-28T18:54:02.919228
CONTENT_81,Landing Page,Health,Alice,1421,0.82,0.76,Draft,2026-03-28T18:54:02.919233
CONTENT_82,Landing Page,Finance,Charlie,1152,0.75,0.44,Review,2026-03-28T18:54:02.919237
CONTENT_83,Landing Page,Tech,Emma,630,0.8,0.48,Published,2026-03-28T18:54:02.919242
CONTENT_84,Landing Page,Energy,David,791,0.38,0.6,Published,2026-03-28T18:54:02.919246
CONTENT_85,Blog,Tech,Alice,1746,0.55,0.64,Published,2026-03-28T18:54:02.919250
CONTENT_86,Blog,Health,Emma,537,0.72,0.37,Draft,2026-03-28T18:54:02.919255
CONTENT_87,Product Page,Energy,Bob,1297,0.33,0.92,Draft,2026-03-28T18:54:02.919259
CONTENT_88,Product Page,Energy,Alice,1594,0.53,0.88,Published,2026-03-28T18:54:02.919263
CONTENT_89,Landing Page,Tech,Emma,965,0.35,0.95,Published,2026-03-28T18:54:02.919268
CONTENT_90,Product Page,Tech,Charlie,1581,0.84,0.35,Review,2026-03-28T18:54:02.919272
CONTENT_91,Landing Page,Health,Alice,1433,0.95,0.84,Review,2026-03-28T18:54:02.919276
CONTENT_92,Blog,Tech,Alice,1327,0.91,0.68,Review,2026-03-28T18:54:02.919281
CONTENT_93,Product Page,Finance,Charlie,1241,0.58,0.78,Review,2026-03-28T18:54:02.919285
CONTENT_94,Landing Page,Health,Alice,1507,0.76,0.35,Draft,2026-03-28T18:54:02.919290
CONTENT_95,Product Page,Energy,Emma,997,0.72,0.46,Published,2026-03-28T18:54:02.919294
CONTENT_96,Article,Finance,Emma,803,0.42,0.9,Published,2026-03-28T18:54:02.919299
CONTENT_97,Blog,Health,Charlie,857,0.42,0.94,Published,2026-03-28T18:54:02.919303
CONTENT_98,Landing Page,Finance,Bob,1146,0.89,0.42,Draft,2026-03-28T18:54:02.919307
CONTENT_99,Blog,Health,Charlie,326,0.5,0.4,Published,2026-03-28T18:54:02.919312
CONTENT_100,Product Page,Retail,Emma,1319,0.43,0.74,Review,2026-03-28T18:54:02.919316
CONTENT_101,Article,Retail,Alice,634,0.79,0.6,Review,2026-03-28T18:54:02.919320
CONTENT_102,Product Page,Health,Emma,1668,0.37,0.54,Published,2026-03-28T18:54:02.919325
CONTENT_103,Product Page,Health,Alice,1962,0.63,0.63,Review,2026-03-28T18:54:02.919329
CONTENT_104,Article,Retail,Charlie,1111,0.82,0.51,Review,2026-03-28T18:54:02.919336
CONTENT_105,Article,Energy,Alice,1542,0.81,0.51,Published,2026-03-28T18:54:02.919340
CONTENT_106,Landing Page,Tech,David,1901,0.33,0.36,Published,2026-03-28T18:54:02.919345
CONTENT_107,Blog,Health,Charlie,1916,0.91,0.85,Review,2026-03-28T18:54:02.919349
CONTENT_108,Article,Finance,Bob,1976,0.7,0.84,Review,2026-03-28T18:54:02.919354
CONTENT_109,Blog,Energy,Charlie,1144,0.52,0.37,Review,2026-03-28T18:54:02.919358
CONTENT_110,Article,Health,Alice,1787,0.31,0.45,Published,2026-03-28T18:54:02.919363
CONTENT_111,Article,Health,Charlie,1006,0.67,0.72,Published,2026-03-28T18:54:02.919367
CONTENT_112,Blog,Energy,David,1003,0.94,0.6,Review,2026-03-28T18:54:02.919371
CONTENT_113,Product Page,Health,Bob,784,0.59,0.76,Review,2026-03-28T18:54:02.919376
CONTENT_114,Landing Page,Tech,Charlie,1514,0.58,0.39,Draft,2026-03-28T18:54:02.919380
CONTENT_115,Blog,Finance,David,899,0.37,0.58,Review,2026-03-28T18:54:02.919384
CONTENT_116,Landing Page,Retail,Charlie,391,0.63,0.91,Draft,2026-03-28T18:54:02.919389
CONTENT_117,Article,Health,Emma,892,0.62,0.34,Review,2026-03-28T18:54:02.919393
CONTENT_118,Landing Page,Tech,Bob,1947,0.42,0.63,Review,2026-03-28T18:54:02.919398
CONTENT_119,Article,Retail,David,1970,0.58,0.32,Review,2026-03-28T18:54:02.919402
CONTENT_120,Product Page,Tech,Charlie,1525,0.34,0.87,Published,2026-03-28T18:54:02.919406
CONTENT_121,Product Page,Finance,David,1292,0.57,0.37,Review,2026-03-28T18:54:02.919410
CONTENT_122,Article,Health,Bob,696,0.44,0.93,Published,2026-03-28T18:54:02.919415
CONTENT_123,Product Page,Energy,Charlie,573,0.38,0.9,Draft,2026-03-28T18:54:02.919419
CONTENT_124,Landing Page,Energy,Alice,1574,0.43,0.33,Review,2026-03-28T18:54:02.919423
CONTENT_125,Article,Energy,David,1085,0.45,0.77,Draft,2026-03-28T18:54:02.919428
CONTENT_126,Article,Retail,David,1677,0.49,0.66,Published,2026-03-28T18:54:02.919432
CONTENT_127,Article,Tech,Charlie,1054,0.9,0.61,Published,2026-03-28T18:54:02.919436
CONTENT_128,Landing Page,Finance,Bob,1498,0.81,0.36,Published,2026-03-28T18:54:02.919441
CONTENT_129,Article,Energy,Bob,1688,0.7,0.85,Draft,2026-03-28T18:54:02.919449
CONTENT_130,Landing Page,Tech,Emma,525,0.79,0.78,Published,2026-03-28T18:54:02.919454
CONTENT_131,Article,Retail,Bob,328,0.92,0.59,Published,2026-03-28T18:54:02.919458
CONTENT_132,Blog,Energy,Bob,1419,0.74,0.4,Review,2026-03-28T18:54:02.919463
CONTENT_133,Product Page,Tech,Emma,1685,0.58,0.54,Review,2026-03-28T18:54:02.919467
CONTENT_134,Blog,Energy,Bob,877,0.79,0.72,Published,2026-03-28T18:54:02.919471
CONTENT_135,Product Page,Retail,Emma,1837,0.71,0.83,Draft,2026-03-28T18:54:02.919476
CONTENT_136,Product Page,Retail,David,1882,0.57,0.93,Draft,2026-03-28T18:54:02.919480
CONTENT_137,Product Page,Energy,Bob,1788,0.79,0.69,Published,2026-03-28T18:54:02.919484
CONTENT_138,Landing Page,Tech,Charlie,1177,0.62,0.81,Published,2026-03-28T18:54:02.919488
CONTENT_139,Product Page,Energy,Bob,1795,0.33,0.5,Review,2026-03-28T18:54:02.919493
CONTENT_140,Article,Health,Bob,1894,0.79,0.73,Review,2026-03-28T18:54:02.919497
CONTENT_141,Product Page,Finance,Bob,1429,0.46,0.59,Draft,2026-03-28T18:54:02.919501
CONTENT_142,Product Page,Energy,David,597,0.52,0.34,Published,2026-03-28T18:54:02.919506
CONTENT_143,Landing Page,Energy,Alice,422,0.46,0.44,Published,2026-03-28T18:54:02.919510
CONTENT_144,Blog,Energy,David,1976,0.51,0.32,Review,2026-03-28T18:54:02.919514
CONTENT_145,Blog,Finance,Charlie,592,0.58,0.39,Draft,2026-03-28T18:54:02.919519
CONTENT_146,Product Page,Energy,Charlie,1224,0.36,0.43,Draft,2026-03-28T18:54:02.919523
CONTENT_147,Product Page,Tech,Alice,1478,0.41,0.78,Published,2026-03-28T18:54:02.919528
CONTENT_148,Landing Page,Finance,Bob,980,0.39,0.61,Published,2026-03-28T18:54:02.919532
CONTENT_149,Blog,Finance,Bob,893,0.69,0.91,Published,2026-03-28T18:54:02.919536
CONTENT_150,Blog,Retail,Emma,1266,0.72,0.42,Published,2026-03-28T18:54:02.919541
CONTENT_151,Blog,Tech,Charlie,1555,0.67,0.35,Draft,2026-03-28T18:54:02.919546
CONTENT_152,Article,Health,Bob,436,0.51,0.38,Published,2026-03-28T18:54:02.919550
CONTENT_153,Product Page,Health,Bob,1620,0.78,0.7,Draft,2026-03-28T18:54:02.919554
CONTENT_154,Product Page,Health,Emma,1126,0.42,0.78,Published,2026-03-28T18:54:02.919561
CONTENT_155,Product Page,Retail,Bob,1734,0.46,0.45,Draft,2026-03-28T18:54:02.919565
CONTENT_156,Blog,Tech,Emma,1487,0.71,0.36,Published,2026-03-28T18:54:02.919570
CONTENT_157,Blog,Finance,Alice,954,0.47,0.93,Review,2026-03-28T18:54:02.919574
CONTENT_158,Blog,Finance,Emma,510,0.66,0.75,Draft,2026-03-28T18:54:02.919579
CONTENT_159,Blog,Energy,Emma,1026,0.9,0.32,Review,2026-03-28T18:54:02.919583
CONTENT_160,Article,Health,Alice,1210,0.36,0.51,Draft,2026-03-28T18:54:02.919588
CONTENT_161,Product Page,Health,Emma,365,0.73,0.84,Published,2026-03-28T18:54:02.919592
CONTENT_162,Blog,Finance,Charlie,936,0.5,0.95,Review,2026-03-28T18:54:02.919596
CONTENT_163,Landing Page,Finance,Bob,1359,0.48,0.88,Review,2026-03-28T18:54:02.919601
CONTENT_164,Blog,Health,Charlie,1846,0.42,0.63,Draft,2026-03-28T18:54:02.919605
CONTENT_165,Article,Health,Bob,1354,0.75,0.74,Draft,2026-03-28T18:54:02.919610
CONTENT_166,Article,Health,Emma,944,0.83,0.84,Published,2026-03-28T18:54:02.919614
CONTENT_167,Product Page,Energy,Alice,1686,0.36,0.52,Review,2026-03-28T18:54:02.919619
CONTENT_168,Blog,Finance,Emma,1264,0.68,0.65,Draft,2026-03-28T18:54:02.919623
CONTENT_169,Blog,Energy,Bob,331,0.8,0.5,Published,2026-03-28T18:54:02.919627
CONTENT_170,Product Page,Finance,Bob,1010,0.59,0.64,Published,2026-03-28T18:54:02.919631
CONTENT_171,Landing Page,Health,David,1695,0.7,0.64,Draft,2026-03-28T18:54:02.919636
CONTENT_172,Product Page,Finance,Emma,904,0.6,0.76,Draft,2026-03-28T18:54:02.919640
CONTENT_173,Landing Page,Finance,David,693,0.9,0.42,Draft,2026-03-28T18:54:02.919644
CONTENT_174,Blog,Retail,David,1610,0.33,0.5,Published,2026-03-28T18:54:02.919649
CONTENT_175,Blog,Tech,David,968,0.65,0.56,Draft,2026-03-28T18:54:02.919653
CONTENT_176,Product Page,Tech,Bob,1437,0.39,0.83,Draft,2026-03-28T18:54:02.919657
CONTENT_177,Product Page,Health,Emma,922,0.61,0.37,Draft,2026-03-28T18:54:02.919662
CONTENT_178,Landing Page,Health,David,472,0.63,0.51,Review,2026-03-28T18:54:02.919666
CONTENT_179,Product Page,Health,Alice,1724,0.42,0.85,Review,2026-03-28T18:54:02.919670
CONTENT_180,Blog,Energy,Alice,1821,0.87,0.47,Draft,2026-03-28T18:54:02.919674
CONTENT_181,Product Page,Energy,Emma,999,0.68,0.76,Published,2026-03-28T18:54:02.919680
CONTENT_182,Article,Tech,Bob,1458,0.42,0.73,Draft,2026-03-28T18:54:02.919684
CONTENT_183,Article,Retail,David,610,0.92,0.68,Draft,2026-03-28T18:54:02.919689
CONTENT_184,Blog,Tech,Bob,1605,0.76,0.69,Review,2026-03-28T18:54:02.919693
CONTENT_185,Blog,Finance,Bob,751,0.34,0.62,Draft,2026-03-28T18:54:02.919697
CONTENT_186,Article,Tech,Emma,1836,0.56,0.71,Draft,2026-03-28T18:54:02.919702
CONTENT_187,Blog,Health,Emma,1789,0.41,0.64,Review,2026-03-28T18:54:02.919706
CONTENT_188,Blog,Finance,David,1040,0.58,0.82,Draft,2026-03-28T18:54:02.919710
CONTENT_189,Landing Page,Finance,Bob,1837,0.51,0.82,Draft,2026-03-28T18:54:02.919715
CONTENT_190,Product Page,Finance,Bob,482,0.78,0.69,Draft,2026-03-28T18:54:02.919719
CONTENT_191,Article,Energy,David,919,0.38,0.89,Draft,2026-03-28T18:54:02.919723
CONTENT_192,Landing Page,Health,Alice,1995,0.94,0.52,Published,2026-03-28T18:54:02.919727
CONTENT_193,Product Page,Finance,Alice,746,0.61,0.67,Draft,2026-03-28T18:54:02.919731
CONTENT_194,Blog,Tech,Emma,570,0.92,0.46,Review,2026-03-28T18:54:02.919736
CONTENT_195,Blog,Retail,David,309,0.81,0.63,Review,2026-03-28T18:54:02.919740
CONTENT_196,Article,Tech,Emma,1098,0.76,0.73,Draft,2026-03-28T18:54:02.919744
CONTENT_197,Landing Page,Health,David,1188,0.75,0.91,Published,2026-03-28T18:54:02.919749
CONTENT_198,Article,Retail,Alice,933,0.57,0.8,Published,2026-03-28T18:54:02.919753
CONTENT_199,Landing Page,Tech,Emma,1759,0.58,0.37,Published,2026-03-28T18:54:02.919757
CONTENT_200,Landing Page,Tech,Bob,1356,0.45,0.71,Draft,2026-03-28T18:54:02.919762
